date , Sv , C 
Tue Nov 10 12:09:06 2020, 44.67, 850.0
Tue Nov 10 12:09:29 2020, 42.08, 850.0
Tue Jan 16 14:34:48 2024, 31.77, 747.0
Tue Jan 16 14:35:42 2024, 30.03, 747.0
Tue Jan 16 14:36:15 2024, 34.31, 747.0
Tue Jan 16 14:37:01 2024, 26.45, 747.0
Tue Jan 16 14:38:37 2024, 30.60, 747.0
Tue Jan 16 14:39:15 2024, 32.63, 747.0
Tue Jan 16 14:39:51 2024, 33.21, 747.0
Thu Jun 27 11:10:24 2024, 42.12, 743.0
Thu Jun 27 11:10:58 2024, 36.77, 743.0
Thu Jun 27 11:11:28 2024, 37.42, 743.0
Thu Jun 27 11:13:04 2024, 30.77, 743.0
Thu Jun 27 11:13:38 2024, 33.49, 743.0
