*Frequency 	VM1-abs (dB)	VM1-phase (deg)
0.001	-57.3872236459927	-97.6135774526002
0.00102093948370768	-57.216881817762	-97.474607690747
0.0010423174293933	-57.0461845035138	-97.3377635064804
0.00106414301822432	-56.8751431632658	-97.2030423402344
0.00108642562361707	-56.7037697100635	-97.0704463331038
0.0011091748152624	-56.5320750001003	-96.9399678075221
0.00113240036323556	-56.3600701166844	-96.8116037001521
0.0011561122421921	-56.1877653174473	-96.6853435482747
0.00118032063565173	-56.0151713658937	-96.5611838921344
0.0012050359403718	-55.8422981656011	-96.4391099811144
0.00123026877081238	-55.6691552339263	-96.319113564403
0.00125602996369487	-55.4957523665635	-96.2011775802339
0.00128233058265602	-55.3220983475716	-96.0852931056919
0.00130918192299941	-55.1482024541552	-95.9714406840658
0.00133659551654644	-54.9740730802191	-95.8596077365943
0.00136458313658892	-54.7997187582482	-95.7497746781949
0.0013931568029453	-54.6251474801997	-95.6419246410826
0.00142232878712282	-54.4503673218512	-95.5360382327589
0.00145211161758774	-54.2753857196779	-95.4320961921168
0.00148251808514595	-54.100210208464	-95.3300793084699
0.00151356124843621	-53.9248477311985	-95.2299684430228
0.00154525443953841	-53.7493054127103	-95.1317408669463
0.00157761126969935	-53.5735897246221	-95.0353753609688
0.00161064563517827	-53.397707132388	-94.9408508900466
0.00164437172321493	-53.2216640063342	-94.848145323287
0.00167880401812256	-53.0454663610585	-94.7572347639655
0.00171395730750843	-52.869119821753	-94.6681004955449
0.00174984668862466	-52.692630291552	-94.5807162072606
0.00178648757485205	-52.516002881137	-94.49506082726
0.00182389570231964	-52.3392430051323	-94.4111111162382
0.00186208713666287	-52.1623558492782	-94.3288433729805
0.0019010782799233	-51.9853459810954	-94.2482360149734
0.00194088587759278	-51.8082181761763	-94.1692654694333
0.0019815270258051	-51.6309770181334	-94.0919094020333
0.00202301917867827	-51.4536268623442	-94.0161427685582
0.00206538015581053	-51.27617187223	-93.9419453800085
0.00210862814993329	-51.0986161967859	-93.8692930626328
0.00215278173472437	-50.9209635319159	-93.7981648123592
0.00219785987278482	-50.7432180207252	-93.7285362375753
0.00224388192378277	-50.5653829070713	-93.6603852834918
0.00229086765276777	-50.3874618005079	-93.5936927981905
0.00233883723865935	-50.209457983076	-93.5284336947547
0.00238781128291318	-50.0313749300155	-93.4645875492134
0.00243781081836875	-49.8532154854141	-93.4021327902328
0.00248885731828239	-49.6749828597718	-93.3410485513688
0.0025409727055493	-49.4966797316271	-93.2813149841036
0.00259417936211881	-49.3183091042249	-93.2229083178044
0.0026485001386067	-49.1398731778982	-93.1658132129793
0.00270395836410884	-48.9613751056178	-93.1100045188784
0.00276057785622035	-48.7828171343802	-93.0554651677477
0.00281838293126445	-48.6042014759074	-93.002175087391
0.00287739841473567	-48.4255306256531	-92.9501159846028
0.00293764965196153	-48.2468067031461	-92.8992677451121
0.00299916251898765	-48.0680316674633	-92.849613403073
0.00306196343369068	-47.8892077741179	-92.8011328846459
0.00312607936712395	-47.7103368533727	-92.7538093680672
0.00319153785510076	-47.5314208015844	-92.7076256423356
0.00325836701002009	-47.3524615402664	-92.6625627718588
0.00332659553294004	-47.1734606459311	-92.6186048965311
0.00339625272590408	-46.9944198230676	-92.575736320642
0.00346736850452532	-46.8153407625204	-92.5339398721764
0.00353997341083435	-46.6362249791015	-92.4931996099033
0.00361409862639613	-46.4570737240055	-92.4534997323928
0.0036897759857015	-46.277888723902	-92.4148257422452
0.00376703798983909	-46.0986711972894	-92.3771625089796
0.00384591782045354	-45.9194224764311	-92.340494634955
0.003926449353996	-45.7401438621137	-92.3048087528396
0.00400866717627303	-45.560836543224	-92.2700900494947
0.00409260659730011	-45.3815016391996	-92.23632616846
0.00417830366646622	-45.2021403454484	-92.2035036252463
0.00426579518801593	-45.022753791526	-92.1716077729995
0.00435511873685569	-44.8433428124918	-92.1406287790433
0.00444631267469109	-44.6639086101141	-92.1105517666445
0.00453941616650203	-44.4844521080129	-92.0813659798997
0.00463446919736288	-44.3049740001794	-92.0530604159233
0.0047315125896148	-44.1254754757487	-92.0256230477154
0.00483058802039773	-43.9459571315377	-91.9990428111312
0.00493173803954936	-43.766420062385	-91.9733086568135
0.00503500608787905	-43.5868647920387	-91.9484112879397
0.00514043651582426	-43.4072922042283	-91.9243402625097
0.00524807460249773	-43.2277030567505	-91.9010854031982
0.00535796657513342	-43.0480977810439	-91.8786384217422
0.00547015962893972	-42.8684774240229	-91.8569888984632
0.00558470194736831	-42.688842441407	-91.8361283016558
0.00570164272280747	-42.5091934547736	-91.8160489784243
0.00582103217770871	-42.3295311168039	-91.7967422037885
0.00594292158615572	-42.1498558096968	-91.778200735089
0.00606736329588505	-41.9701684154479	-91.760416168298
0.00619441075076781	-41.7904692888561	-91.7433813991207
0.0063241185137622	-41.6107588318745	-91.7270899682429
0.00645654229034655	-41.4310377681587	-91.7115347735637
0.00659173895244321	-41.2513063767865	-91.6967096165785
0.00672976656284318	-41.0715651860107	-91.6826082904088
0.00687068440014232	-40.8918147663779	-91.6692250651261
0.00701455298419971	-40.7120553496843	-91.6565548768314
