*Frequency 	VM1-abs (dB)	VM1-phase (deg)
0.001	-57.6798304201743	-97.9973464403485
0.00102093948370768	-57.5099059840048	-97.8509517132955
0.0010423174293933	-57.3396102437573	-97.7067930102708
0.00106414301822432	-57.1689557389443	-97.564878808596
0.00108642562361707	-56.9979546219924	-97.4251990598509
0.0011091748152624	-56.8266190470924	-97.2877641226349
0.00113240036323556	-56.6549582927405	-97.1525446482788
0.0011561122421921	-56.4829860928583	-97.0195606803015
0.00118032063565173	-56.310711102853	-96.8887851771011
0.0012050359403718	-56.1381446248415	-96.760203958105
0.00123026877081238	-55.9652966367552	-96.6338076394893
0.00125602996369487	-55.792177872354	-96.5095954488883
0.00128233058265602	-55.6187976524182	-96.3875334228403
0.00130918192299941	-55.4451636394901	-96.2676177123107
0.00133659551654644	-55.2712868308431	-96.1498193371801
0.00136458313658892	-55.0971753366733	-96.034131616792
0.0013931568029453	-54.9228369791716	-95.920523668873
0.00142232878712282	-54.7482820916613	-95.8089864289428
0.00145211161758774	-54.5735152863402	-95.6994941293504
0.00148251808514595	-54.3985466871257	-95.5920246455621
0.00151356124843621	-54.2233832965963	-95.4865665498376
0.00154525443953841	-54.0480324704797	-95.3830746215432
0.00157761126969935	-53.8725004785646	-95.2815453122578
0.00161064563517827	-53.696794850354	-95.1819454938126
0.00164437172321493	-53.5209213159527	-95.0842636727946
0.00167880401812256	-53.3448869067551	-94.9884625818805
0.00171395730750843	-53.16869675442	-94.8945281188848
0.00174984668862466	-52.9923575847999	-94.8024367606314
0.00178648757485205	-52.8158747840485	-94.7121509619317
0.00182389570231964	-52.6392536948143	-94.6236603415891
0.00186208713666287	-52.4624995058595	-94.5369329116047
0.0019010782799233	-52.285617667429	-94.4519551479526
0.00194088587759278	-52.1086131775056	-94.36868271978
0.0019815270258051	-51.931490035214	-94.2871090218122
0.00202301917867827	-51.7542533537279	-94.2072014897795
0.00206538015581053	-51.5769071432007	-94.1289437122852
0.00210862814993329	-51.3994559765117	-94.0522970075263
0.00215278173472437	-51.2219036678857	-93.9772550974823
0.00219785987278482	-51.0442546130325	-93.9037808573664
0.00224388192378277	-50.8665119712113	-93.8318568211758
0.00229086765276777	-50.6886797950907	-93.7614530399984
0.00233883723865935	-50.5107614408486	-93.6925606012355
0.00238781128291318	-50.332759909925	-93.6251394948249
0.00243781081836875	-50.1546791774633	-93.5591812575247
0.00248885731828239	-49.9765220683091	-93.4946552547968
0.0025409727055493	-49.798291241293	-93.4315404079876
0.00259417936211881	-49.6199901867503	-93.3698171412969
0.0026485001386067	-49.4416212645796	-93.3094617853282
0.00270395836410884	-49.2631869860426	-93.2504585055172
0.00276057785622035	-49.0846903751323	-93.192774058215
0.00281838293126445	-48.9061338656069	-93.1364014748347
0.00287739841473567	-48.7275195398899	-93.0813128754671
0.00293764965196153	-48.5488497587193	-93.0274904977018
0.00299916251898765	-48.3701268759369	-92.974912487517
0.00306196343369068	-48.1913527803024	-92.9235650425175
0.00312607936712395	-48.0125300206565	-92.8734222059034
0.00319153785510076	-47.8336599541409	-92.8244654523196
0.00325836701002009	-47.6547449188786	-92.77668505429
0.00332659553294004	-47.4757863367144	-92.7300548370415
0.00339625272590408	-47.2967860953018	-92.6845616909531
0.00346736850452532	-47.1177460903321	-92.6401821572595
0.00353997341083435	-46.9386673095397	-92.5969056607156
0.00361409862639613	-46.7595520851412	-92.5547125199085
0.0036897759857015	-46.5804015363625	-92.5135855456626
0.00376703798983909	-46.4012170208042	-92.4735101900441
0.00384591782045354	-46.222000067985	-92.4344718988387
0.003926449353996	-46.0427517803661	-92.3964579775877
0.00400866717627303	-45.8634734075399	-92.3594462680255
0.00409260659730011	-45.6841664776937	-92.3234318595632
0.00417830366646622	-45.5048318155594	-92.2883928809305
0.00426579518801593	-45.3254708569101	-92.2543140139343
0.00435511873685569	-45.1460845161124	-92.221185360279
0.00444631267469109	-44.9666737109686	-92.1889966183702
0.00453941616650203	-44.7872398207791	-92.1577290553239
0.00463446919736288	-44.6077833724474	-92.1273787044058
0.0047315125896148	-44.4283053670953	-92.0979230223228
0.00483058802039773	-44.2488069926076	-92.0693577087852
0.00493173803954936	-44.0692888152616	-92.0416680735614
0.00503500608787905	-43.8897515622129	-92.0148434854386
0.00514043651582426	-43.7101965697849	-91.9888732409193
0.00524807460249773	-43.5306238241183	-91.9637480305631
0.00535796657513342	-43.3510344684765	-91.9394567205172
0.00547015962893972	-43.1714293754603	-91.9159877028211
0.00558470194736831	-42.991809137452	-91.8933332848646
0.00570164272280747	-42.8121739046822	-91.8714833401731
0.00582103217770871	-42.6325247432399	-91.8504307351672
0.00594292158615572	-42.4528622845418	-91.8301667387169
0.00606736329588505	-42.2731870728092	-91.8106801938938
0.00619441075076781	-42.0934994288483	-91.7919660927097
0.0063241185137622	-41.9138001241501	-91.7740136325907
0.00645654229034655	-41.7340895158353	-91.7568198596704
0.00659173895244321	-41.5543681654772	-91.7403737555584
0.00672976656284318	-41.3746364987181	-91.7246735526041
0.00687068440014232	-41.1948951484469	-91.7097045228587
0.00701455298419971	-41.0151443261342	-91.6954678488705
0.00716143410212902	-40.8353845213574	-91.6819562114537
0.00731139083483417	-40.655616319039	-91.6691598100151
0.00746448758410066	-40.4758399140633	-91.6570799675498
0.00762079010025412	-40.2960558531684	-91.6457068658315
0.00778036551039804	-40.1162642204583	-91.635038130441
0.00794328234724282	-39.9364657294832	-91.6250678941131
0.00810961057853841	-39.7566604679683	-91.6157919274853
0.00827942163712334	-39.5768489245423	-91.6072088371163
0.0084527884516029	-39.3970311335067	-91.5993130805687
0.0086297854776697	-39.2172077297232	-91.5921011841034
0.00881048873008014	-39.0373791537392	-91.585569923969
0.00899497581530035	-38.8575452058616	-91.5797195984701
0.00918332596483581	-38.6777064740225	-91.5745437349338
0.0093756200692588	-38.4978631282082	-91.5700435521204
0.00957194071294844	-38.318015642408	-91.5662163556144
0.0097723722095581	-38.1381639503588	-91.5630585776846
0.00997700063822553	-37.9583086457189	-91.5605713367273
0.0101859138805412	-37.7784496360654	-91.5587533548694
0.0103992016582906	-37.5985875813561	-91.5576004846088
0.0106169555719872	-37.4187222963661	-91.5571179360125
0.010839269140212	-37.2388541189246	-91.5573025862243
0.0110662378397767	-37.0589835531729	-91.5581526019022
0.011297959146728	-36.879110482735	-91.5596734495187
0.0115345325782109	-36.6992353038016	-91.5618620123135
0.0117760597352081	-36.5193581307507	-91.5647198761406
0.0120226443461741	-36.3394792962349	-91.568247833641
0.0122743923115841	-36.1595988645284	-91.5724497966829
0.0125314117494142	-35.979717139226	-91.5773256282782
0.0127938130415752	-35.7998343104079	-91.5828775858607
0.0130617088813184	-35.6199505738951	-91.5891081796758
0.0133352143216332	-35.4400662606448	-91.5960198558173
0.0136144468246595	-35.2601812786125	-91.603616810169
