Freq.	V(vout+)-V(vout-)
1.07151930523760e-001	(2.32439175341212e-001dB,-1.57579896890906e+002°)
1.09647819614318e-001	(2.60966309732626e-001dB,-1.58041250939922e+002°)
1.12201845430196e-001	(2.88385556909230e-001dB,-1.58495016843193e+002°)
1.14815362149687e-001	(3.14733331112803e-001dB,-1.58941207460409e+002°)
1.17489755493952e-001	(3.40045360991933e-001dB,-1.59379842849210e+002°)
1.20226443461740e-001	(3.64356661332680e-001dB,-1.59810949873381e+002°)
1.23026877081237e-001	(3.87701508774788e-001dB,-1.60234561814640e+002°)
1.25892541179416e-001	(4.10113421319889e-001dB,-1.60650717989490e+002°)
1.28824955169312e-001	(4.31625141431574e-001dB,-1.61059463372446e+002°)
1.31825673855640e-001	(4.52268622523033e-001dB,-1.61460848226797e+002°)
1.34896288259164e-001	(4.72075018625697e-001dB,-1.61854927743907e+002°)
1.38038426460287e-001	(4.91074677032151e-001dB,-1.62241761691925e+002°)
1.41253754462274e-001	(5.09297133707714e-001dB,-1.62621414074645e+002°)
1.44543977074592e-001	(5.26771111268179e-001dB,-1.62993952801101e+002°)
1.47910838816820e-001	(5.43524519324938e-001dB,-1.63359449366420e+002°)
1.51356124843620e-001	(5.59584457004122e-001dB,-1.63717978544287e+002°)
1.54881661891247e-001	(5.74977217452135e-001dB,-1.64069618091314e+002°)
1.58489319246110e-001	(5.89728294146970e-001dB,-1.64414448463517e+002°)
1.62181009735892e-001	(6.03862388841762e-001dB,-1.64752552544983e+002°)
1.65958690743755e-001	(6.17403420975045e-001dB,-1.65084015388781e+002°)
1.69824365246173e-001	(6.30374538390084e-001dB,-1.65408923970081e+002°)
1.73780082874936e-001	(6.42798129214030e-001dB,-1.65727366951369e+002°)
1.77827941003891e-001	(6.54695834756102e-001dB,-1.66039434459641e+002°)
1.81970085860997e-001	(6.66088563292429e-001dB,-1.66345217875361e+002°)
1.86208713666285e-001	(6.76996504613486e-001dB,-1.66644809632957e+002°)
1.90546071796323e-001	(6.87439145218486e-001dB,-1.66938303032600e+002°)
1.94984459975803e-001	(6.97435284049144e-001dB,-1.67225792062966e+002°)
1.99526231496886e-001	(7.07003048663075e-001dB,-1.67507371234653e+002°)
2.04173794466951e-001	(7.16159911754892e-001dB,-1.67783135423940e+002°)
2.08929613085402e-001	(7.24922707940269e-001dB,-1.68053179726523e+002°)
2.13796208950222e-001	(7.33307650725499e-001dB,-1.68317599320867e+002°)
2.18776162394954e-001	(7.41330349591615e-001dB,-1.68576489340811e+002°)
2.23872113856832e-001	(7.49005827128815e-001dB,-1.68829944757049e+002°)
2.29086765276776e-001	(7.56348536162807e-001dB,-1.69078060267113e+002°)
2.34422881531990e-001	(7.63372376820498e-001dB,-1.69320930193480e+002°)
2.39883291901947e-001	(7.70090713488028e-001dB,-1.69558648389439e+002°)
2.45470891568501e-001	(7.76516391618861e-001dB,-1.69791308152333e+002°)
2.51188643150956e-001	(7.82661754354786e-001dB,-1.70019002143835e+002°)
2.57039578276884e-001	(7.88538658926786e-001dB,-1.70241822316884e+002°)
2.63026799189536e-001	(7.94158492807029e-001dB,-1.70459859848942e+002°)
2.69153480392689e-001	(7.99532189586921e-001dB,-1.70673205081235e+002°)
2.75422870333815e-001	(8.04670244559736e-001dB,-1.70881947463645e+002°)
2.81838293126443e-001	(8.09582729989582e-001dB,-1.71086175504937e+002°)
2.88403150312658e-001	(8.14279310051341e-001dB,-1.71285976728014e+002°)
2.95120922666636e-001	(8.18769255429061e-001dB,-1.71481437629903e+002°)
3.01995172040199e-001	(8.23061457562706e-001dB,-1.71672643646187e+002°)
3.09029543251357e-001	(8.27164442535340e-001dB,-1.71859679119611e+002°)
3.16227766016835e-001	(8.31086384595137e-001dB,-1.72042627272600e+002°)
3.23593656929626e-001	(8.34835119308037e-001dB,-1.72221570183433e+002°)
3.31131121482589e-001	(8.38418156339047e-001dB,-1.72396588765847e+002°)
3.38844156139200e-001	(8.41842691861215e-001dB,-1.72567762751826e+002°)
3.46736850452529e-001	(8.45115620592957e-001dB,-1.72735170677375e+002°)
3.54813389233573e-001	(8.48243547465504e-001dB,-1.72898889871058e+002°)
3.63078054770098e-001	(8.51232798923242e-001dB,-1.73058996445120e+002°)
3.71535229097170e-001	(8.54089433860739e-001dB,-1.73215565288989e+002°)
3.80189396320558e-001	(8.56819254201015e-001dB,-1.73368670064998e+002°)
3.89045144994277e-001	(8.59427815120310e-001dB,-1.73518383206160e+002°)
3.98107170553494e-001	(8.61920434925348e-001dB,-1.73664775915825e+002°)
4.07380277804109e-001	(8.64302204589276e-001dB,-1.73807918169088e+002°)
4.16869383470332e-001	(8.66577996953411e-001dB,-1.73947878715802e+002°)
4.26579518801589e-001	(8.68752475601765e-001dB,-1.74084725085060e+002°)
4.36515832240162e-001	(8.70830103416047e-001dB,-1.74218523591031e+002°)
4.46683592150959e-001	(8.72815150818798e-001dB,-1.74349339340028e+002°)
4.57088189614871e-001	(8.74711703712609e-001dB,-1.74477236238704e+002°)
4.67735141287194e-001	(8.76523671123536e-001dB,-1.74602277003270e+002°)
4.78630092322634e-001	(8.78254792556858e-001dB,-1.74724523169638e+002°)
4.89778819368442e-001	(8.79908645073394e-001dB,-1.74844035104410e+002°)
5.01187233627268e-001	(8.81488650094632e-001dB,-1.74960872016613e+002°)
5.12861383991360e-001	(8.82998079944864e-001dB,-1.75075091970115e+002°)
5.24807460249768e-001	(8.84440064138543e-001dB,-1.75186751896647e+002°)
5.37031796370248e-001	(8.85817595420932e-001dB,-1.75295907609354e+002°)
5.49540873857620e-001	(8.87133535570177e-001dB,-1.75402613816829e+002°)
5.62341325190344e-001	(8.88390620968527e-001dB,-1.75506924137544e+002°)
5.75439937337152e-001	(8.89591467950723e-001dB,-1.75608891114659e+002°)
5.88843655355584e-001	(8.90738577937050e-001dB,-1.75708566231125e+002°)
6.02559586074352e-001	(8.91834342358742e-001dB,-1.75805999925051e+002°)
6.16595001861477e-001	(8.92881047382842e-001dB,-1.75901241605291e+002°)
6.30957344480188e-001	(8.93880878444042e-001dB,-1.75994339667202e+002°)
6.45654229034650e-001	(8.94835924590233e-001dB,-1.76085341508551e+002°)
6.60693448007590e-001	(8.95748182648834e-001dB,-1.76174293545509e+002°)
6.76082975391976e-001	(8.96619561220415e-001dB,-1.76261241228738e+002°)
6.91830970918930e-001	(8.97451884506269e-001dB,-1.76346229059505e+002°)
7.07945784384132e-001	(8.98246895976014e-001dB,-1.76429300605822e+002°)
7.24435960074984e-001	(8.99006261881639e-001dB,-1.76510498518571e+002°)
7.41310241300911e-001	(8.99731574623618e-001dB,-1.76589864547604e+002°)
7.58577575029177e-001	(9.00424355975151e-001dB,-1.76667439557787e+002°)
7.76247116628685e-001	(9.01086060169857e-001dB,-1.76743263544974e+002°)
7.94328234724274e-001	(9.01718076858445e-001dB,-1.76817375651891e+002°)
8.12830516164092e-001	(9.02321733939572e-001dB,-1.76889814183924e+002°)
8.31763771102663e-001	(9.02898300269838e-001dB,-1.76960616624778e+002°)
8.51138038202369e-001	(9.03448988257910e-001dB,-1.77029819652013e+002°)
8.70963589956073e-001	(9.03974956347372e-001dB,-1.77097459152435e+002°)
8.91250938133737e-001	(9.04477311392833e-001dB,-1.77163570237336e+002°)
9.12010839355901e-001	(9.04957110933735e-001dB,-1.77228187257568e+002°)
9.33254300796982e-001	(9.05415365370006e-001dB,-1.77291343818452e+002°)
9.54992586021427e-001	(9.05853040043592e-001dB,-1.77353072794506e+002°)
9.77237220955801e-001	(9.06271057229852e-001dB,-1.77413406343991e+002°)
9.99999999999990e-001	(9.06670298042485e-001dB,-1.77472375923265e+002°)
1.02329299228074e+000	(9.07051604255652e-001dB,-1.77530012300944e+002°)
1.04712854805089e+000	(9.07415780046739e-001dB,-1.77586345571867e+002°)
1.07151930523760e+000	(9.07763593663125e-001dB,-1.77641405170857e+002°)
1.09647819614317e+000	(9.08095779016147e-001dB,-1.77695219886272e+002°)
1.12201845430195e+000	(9.08413037205360e-001dB,-1.77747817873360e+002°)
1.14815362149687e+000	(9.08716037975983e-001dB,-1.77799226667396e+002°)
1.17489755493952e+000	(9.09005421112552e-001dB,-1.77849473196610e+002°)
1.20226443461740e+000	(9.09281797771263e-001dB,-1.77898583794907e+002°)
1.23026877081237e+000	(9.09545751753834e-001dB,-1.77946584214373e+002°)
1.25892541179415e+000	(9.09797840725295e-001dB,-1.77993499637568e+002°)
1.28824955169312e+000	(9.10038597378116e-001dB,-1.78039354689610e+002°)
1.31825673855639e+000	(9.10268530545042e-001dB,-1.78084173450042e+002°)
1.34896288259164e+000	(9.10488126262802e-001dB,-1.78127979464500e+002°)
1.38038426460287e+000	(9.10697848788812e-001dB,-1.78170795756155e+002°)
1.41253754462274e+000	(9.10898141572967e-001dB,-1.78212644836961e+002°)
1.44543977074591e+000	(9.11089428186437e-001dB,-1.78253548718685e+002°)
1.47910838816819e+000	(9.11272113209252e-001dB,-1.78293528923743e+002°)
1.51356124843619e+000	(9.11446583078688e-001dB,-1.78332606495822e+002°)
1.54881661891247e+000	(9.11613206899910e-001dB,-1.78370802010304e+002°)
1.58489319246110e+000	(9.11772337220735e-001dB,-1.78408135584493e+002°)
1.62181009735891e+000	(9.11924310771911e-001dB,-1.78444626887643e+002°)
1.65958690743754e+000	(9.12069449174594e-001dB,-1.78480295150785e+002°)
1.69824365246173e+000	(9.12208059616265e-001dB,-1.78515159176375e+002°)
1.73780082874936e+000	(9.12340435496685e-001dB,-1.78549237347736e+002°)
1.77827941003890e+000	(9.12466857045050e-001dB,-1.78582547638324e+002°)
1.81970085860996e+000	(9.12587591909634e-001dB,-1.78615107620803e+002°)
1.86208713666285e+000	(9.12702895721251e-001dB,-1.78646934475940e+002°)
1.90546071796323e+000	(9.12813012631507e-001dB,-1.78678045001320e+002°)
1.94984459975802e+000	(9.12918175827097e-001dB,-1.78708455619882e+002°)
1.99526231496886e+000	(9.13018608021203e-001dB,-1.78738182388286e+002°)
2.04173794466951e+000	(9.13114521922830e-001dB,-1.78767241005102e+002°)
2.08929613085402e+000	(9.13206120685355e-001dB,-1.78795646818834e+002°)
2.13796208950221e+000	(9.13293598334904e-001dB,-1.78823414835782e+002°)
2.18776162394953e+000	(9.13377140179657e-001dB,-1.78850559727734e+002°)
2.23872113856832e+000	(9.13456923200864e-001dB,-1.78877095839501e+002°)
2.29086765276775e+000	(9.13533116426329e-001dB,-1.78903037196299e+002°)
2.34422881531990e+000	(9.13605881287274e-001dB,-1.78928397510966e+002°)
2.39883291901946e+000	(9.13675371959120e-001dB,-1.78953190191045e+002°)
2.45470891568500e+000	(9.13741735687138e-001dB,-1.78977428345698e+002°)
2.51188643150955e+000	(9.13805113097461e-001dB,-1.79001124792488e+002°)
2.57039578276884e+000	(9.13865638494169e-001dB,-1.79024292064014e+002°)
2.63026799189535e+000	(9.13923440143089e-001dB,-1.79046942414407e+002°)
2.69153480392689e+000	(9.13978640542873e-001dB,-1.79069087825683e+002°)
2.75422870333814e+000	(9.14031356683942e-001dB,-1.79090740013967e+002°)
2.81838293126442e+000	(9.14081700295793e-001dB,-1.79111910435584e+002°)
2.88403150312657e+000	(9.14129778083260e-001dB,-1.79132610293016e+002°)
2.95120922666635e+000	(9.14175691952166e-001dB,-1.79152850540740e+002°)
3.01995172040198e+000	(9.14219539224843e-001dB,-1.79172641890930e+002°)
3.09029543251356e+000	(9.14261412845989e-001dB,-1.79191994819051e+002°)
