Freq.	V(vout+)-V(vout-)	V(vin)
3.46736850452531e-01	-4.00900893191311e-04,-1.91657164771406e-02	1.99998990004873e-02,-2.43645237200185e-13
3.54813389233575e-01	-4.19790915461416e-04,-1.96118564281558e-02	1.99998990004872e-02,-2.49319682796822e-13
3.63078054770101e-01	-4.39570825217498e-04,-2.00683677970723e-02	1.99998990004872e-02,-2.55126247340821e-13
3.71535229097172e-01	-4.60282525699794e-04,-2.05354906985111e-02	1.99998990004871e-02,-2.61068004320864e-13
3.80189396320561e-01	-4.81969891528553e-04,-2.10134707352537e-02	1.99998990004870e-02,-2.67148098446347e-13
3.89045144994280e-01	-5.04678861278886e-04,-2.15025591185888e-02	1.99998990004869e-02,-2.73369747493221e-13
3.98107170553497e-01	-5.28457534386270e-04,-2.20030127909291e-02	1.99998990004869e-02,-2.79736243743751e-13
4.07380277804112e-01	-5.53356272583877e-04,-2.25150945507102e-02	1.99998990004868e-02,-2.86250955809860e-13
4.16869383470335e-01	-5.79427806081854e-04,-2.30390731795863e-02	1.99998990004867e-02,-2.92917330559079e-13
4.26579518801592e-01	-6.06727344708334e-04,-2.35752235719316e-02	1.99998990004866e-02,-2.99738894570101e-13
4.36515832240165e-01	-6.35312694241878e-04,-2.41238268666534e-02	1.99998990004865e-02,-3.06719256138803e-13
4.46683592150962e-01	-6.65244378175661e-04,-2.46851705813224e-02	1.99998990004864e-02,-3.13862107299981e-13
4.57088189614874e-01	-6.96585765164280e-04,-2.52595487486193e-02	1.99998990004863e-02,-3.21171225368482e-13
4.67735141287197e-01	-7.29403202415956e-04,-2.58472620550941e-02	1.99998990004862e-02,-3.28650475369291e-13
4.78630092322638e-01	-7.63766155303999e-04,-2.64486179822310e-02	1.99998990004861e-02,-3.36303811558995e-13
4.89778819368445e-01	-7.99747353484587e-04,-2.70639309498065e-02	1.99998990004859e-02,-3.44135279814167e-13
5.01187233627271e-01	-8.37422943820219e-04,-2.76935224615226e-02	1.99998990004858e-02,-3.52149019614044e-13
5.12861383991364e-01	-8.76872650421762e-04,-2.83377212528939e-02	1.99998990004857e-02,-3.60349265977410e-13
5.24807460249772e-01	-9.18179942136261e-04,-2.89968634413593e-02	1.99998990004855e-02,-3.68740352119625e-13
5.37031796370252e-01	-9.61432207821894e-04,-2.96712926785827e-02	1.99998990004854e-02,-3.77326711146425e-13
5.49540873857624e-01	-1.00672093976708e-03,-3.03613603049026e-02	1.99998990004852e-02,-3.86112878616711e-13
5.62341325190348e-01	-1.05414192562608e-03,-3.10674255058796e-02	1.99998990004851e-02,-3.95103494850685e-13
5.75439937337156e-01	-1.10379544926043e-03,-3.17898554708845e-02	1.99998990004849e-02,-4.04303307340090e-13
5.88843655355588e-01	-1.15578650089235e-03,-3.25290255536614e-02	1.99998990004847e-02,-4.13717172879473e-13
6.02559586074357e-01	-1.21022499699418e-03,-3.32853194347885e-02	1.99998990004846e-02,-4.23350060477469e-13
6.16595001861481e-01	-1.26722601035670e-03,-3.40591292859514e-02	1.99998990004844e-02,-4.33207053583427e-13
6.30957344480192e-01	-1.32691001079815e-03,-3.48508559359297e-02	1.99998990004842e-02,-4.43293352755885e-13
6.45654229034654e-01	-1.38940311699615e-03,-3.56609090381888e-02	1.99998990004840e-02,-4.53614278326103e-13
6.60693448007595e-01	-1.45483735994526e-03,-3.64897072399523e-02	1.99998990004837e-02,-4.64175272976462e-13
6.76082975391981e-01	-1.52335095856504e-03,-3.73376783526192e-02	1.99998990004835e-02,-4.74981904626931e-13
6.91830970918935e-01	-1.59508860800532e-03,-3.82052595233727e-02	1.99998990004833e-02,-4.86039869202279e-13
7.07945784384137e-01	-1.67020178121949e-03,-3.90928974078123e-02	1.99998990004830e-02,-4.97354993440776e-13
7.24435960074989e-01	-1.74884904439993e-03,-4.00010483434218e-02	1.99998990004827e-02,-5.08933237837602e-13
7.41310241300916e-01	-1.83119638689581e-03,-4.09301785236694e-02	1.99998990004825e-02,-5.20780699578538e-13
7.58577575029182e-01	-1.91741756625830e-03,-4.18807641725108e-02	1.99998990004822e-02,-5.32903615622522e-13
7.76247116628690e-01	-2.00769446908633e-03,-4.28532917190495e-02	1.99998990004819e-02,-5.45308365965452e-13
7.94328234724280e-01	-2.10221748837290e-03,-4.38482579720807e-02	1.99998990004815e-02,-5.58001476287268e-13
8.12830516164098e-01	-2.20118591808125e-03,-4.48661702942214e-02	1.99998990004812e-02,-5.70989621808529e-13
8.31763771102669e-01	-2.30480836570979e-03,-4.59075467753009e-02	1.99998990004809e-02,-5.84279630048592e-13
8.51138038202375e-01	-2.41330318363540e-03,-4.69729164046569e-02	1.99998990004805e-02,-5.97878484407780e-13
8.70963589956079e-01	-2.52689892005607e-03,-4.80628192419508e-02	1.99998990004801e-02,-6.11793327787568e-13
8.91250938133744e-01	-2.64583479038724e-03,-4.91778065860804e-02	1.99998990004797e-02,-6.26031465513099e-13
9.12010839355908e-01	-2.77036116999861e-03,-5.03184411417332e-02	1.99998990004793e-02,-6.40600369265596e-13
9.33254300796989e-01	-2.90074010921397e-03,-5.14852971830822e-02	1.99998990004789e-02,-6.55507680643460e-13
9.54992586021434e-01	-3.03724587153097e-03,-5.26789607140871e-02	1.99998990004784e-02,-6.70761214605706e-13
9.77237220955809e-01	-3.18016549605480e-03,-5.39000296248137e-02	1.99998990004779e-02,-6.86368963394308e-13
9.99999999999998e-01	-3.32979938517694e-03,-5.51491138431412e-02	1.99998990004774e-02,-7.02339100427230e-13
1.02329299228075e+00	-3.48646191856754e-03,-5.64268354811706e-02	1.99998990004769e-02,-7.18679983804194e-13
1.04712854805090e+00	-3.65048209459038e-03,-5.77338289755951e-02	1.99998990004763e-02,-7.35400160361183e-13
1.07151930523760e+00	-3.82220420028692e-03,-5.90707412212305e-02	1.99998990004757e-02,-7.52508369923657e-13
1.09647819614318e+00	-4.00198851111869e-03,-6.04382316968437e-02	1.99998990004751e-02,-7.70013548798180e-13
1.12201845430196e+00	-4.19021202169602e-03,-6.18369725823453e-02	1.99998990004745e-02,-7.87924834568661e-13
1.14815362149688e+00	-4.38726920876398e-03,-6.32676488663405e-02	1.99998990004738e-02,-8.06251569796084e-13
1.17489755493953e+00	-4.59357282775797e-03,-6.47309584429569e-02	1.99998990004731e-02,-8.25003305833127e-13
1.20226443461741e+00	-4.80955474428308e-03,-6.62276121967785e-02	1.99998990004724e-02,-8.44189808426123e-13
1.23026877081238e+00	-5.03566680191419e-03,-6.77583340746327e-02	1.99998990004716e-02,-8.63821060620876e-13
1.25892541179416e+00	-5.27238172775580e-03,-6.93238611428754e-02	1.99998990004708e-02,-8.83907268026352e-13
1.28824955169313e+00	-5.52019407724280e-03,-7.09249436287218e-02	1.99998990004700e-02,-9.04458863096696e-13
1.31825673855640e+00	-5.77962121970463e-03,-7.25623449440595e-02	1.99998990004691e-02,-9.25486509562789e-13
1.34896288259165e+00	-6.05120436625690e-03,-7.42368416900648e-02	1.99998990004682e-02,-9.47001106813214e-13
1.38038426460288e+00	-6.33550964162411e-03,-7.59492236408198e-02	1.99998990004673e-02,-9.69013794802768e-13
1.41253754462275e+00	-6.63312920153581e-03,-7.77002937039933e-02	1.99998990004663e-02,-9.91535958869439e-13
1.44543977074592e+00	-6.94468239737660e-03,-7.94908678565135e-02	1.99998990004652e-02,-1.01457923370423e-12
1.47910838816820e+00	-7.27081698980457e-03,-8.13217750530020e-02	1.99998990004641e-02,-1.03815550897565e-12
1.51356124843620e+00	-7.61221041308627e-03,-8.31938571045862e-02	1.99998990004629e-02,-1.06227693327410e-12
1.54881661891248e+00	-7.96957109192634e-03,-8.51079685255341e-02	1.99998990004617e-02,-1.08695591980959e-12
1.58489319246111e+00	-8.34363981259666e-03,-8.70649763449733e-02	1.99998990004605e-02,-1.11220515015924e-12
1.62181009735892e+00	-8.73519115019176e-03,-8.90657598807665e-02	1.99998990004591e-02,-1.13803758010311e-12
1.65958690743756e+00	-9.14503495385603e-03,-9.11112104724088e-02	1.99998990004578e-02,-1.16446644389614e-12
1.69824365246174e+00	-9.57401789184127e-03,-9.32022311695954e-02	1.99998990004563e-02,-1.19150525956989e-12
1.73780082874937e+00	-1.00230250582578e-02,-9.53397363728803e-02	1.99998990004548e-02,-1.21916783312629e-12
1.77827941003892e+00	-1.04929816433843e-02,-9.75246514225959e-02	1.99998990004532e-02,-1.24746826415298e-12
1.81970085860998e+00	-1.09848546693907e-02,-9.97579121319515e-02	1.99998990004515e-02,-1.27642095031433e-12
1.86208713666286e+00	-1.14996547933127e-02,-1.02040464259947e-01	1.99998990004498e-02,-1.30604059212007e-12
1.90546071796324e+00	-1.20384381790865e-02,-1.04373262919452e-01	1.99998990004480e-02,-1.33634219790804e-12
1.94984459975804e+00	-1.26023084404156e-02,-1.06757271915491e-01	1.99998990004461e-02,-1.36734108835288e-12
1.99526231496887e+00	-1.31924186561862e-02,-1.09193463008441e-01	1.99998990004441e-02,-1.39905290137365e-12
2.04173794466952e+00	-1.38099734600827e-02,-1.11682815096534e-01	1.99998990004420e-02,-1.43149359708912e-12
2.08929613085403e+00	-1.44562312059713e-02,-1.14226313311641e-01	1.99998990004398e-02,-1.46467946119352e-12
2.13796208950223e+00	-1.51325062105185e-02,-1.16824948021991e-01	1.99998990004375e-02,-1.49862711103418e-12
2.18776162394955e+00	-1.58401710743883e-02,-1.19479713735033e-01	1.99998990004351e-02,-1.53335349836610e-12
2.23872113856833e+00	-1.65806590832227e-02,-1.22191607893245e-01	1.99998990004326e-02,-1.56887591508179e-12
2.29086765276777e+00	-1.73554666894363e-02,-1.24961629555236e-01	1.99998990004300e-02,-1.60521199608060e-12
2.34422881531991e+00	-1.81661560756646e-02,-1.27790777954036e-01	1.99998990004272e-02,-1.64237972374716e-12
2.39883291901948e+00	-1.90143578004784e-02,-1.30680050923971e-01	1.99998990004244e-02,-1.68039743141578e-12
2.45470891568502e+00	-1.99017735267191e-02,-1.33630443186988e-01	1.99998990004213e-02,-1.71928380761744e-12
2.51188643150957e+00	-2.08301788325111e-02,-1.36642944488810e-01	1.99998990004182e-02,-1.75905789852841e-12
2.57039578276886e+00	-2.18014261046788e-02,-1.39718537574675e-01	1.99998990004149e-02,-1.79973911121413e-12
2.63026799189537e+00	-2.28174475139105e-02,-1.42858195993891e-01	1.99998990004115e-02,-1.84134721671325e-12
2.69153480392691e+00	-2.38802580705886e-02,-1.46062881721805e-01	1.99998990004079e-02,-1.88390235248768e-12
2.75422870333816e+00	-2.49919587597251e-02,-1.49333542587148e-01	1.99998990004041e-02,-1.92742502426497e-12
2.81838293126444e+00	-2.61547397529050e-02,-1.52671109492111e-01	1.99998990004001e-02,-1.97193610799356e-12
2.88403150312660e+00	-2.73708836945418e-02,-1.56076493411783e-01	1.99998990003960e-02,-2.01745685124914e-12
2.95120922666637e+00	-2.86427690590830e-02,-1.59550582158943e-01	1.99998990003917e-02,-2.06400887419548e-12
3.01995172040200e+00	-2.99728735750652e-02,-1.63094236899473e-01	1.99998990003872e-02,-2.11161416974159e-12
3.09029543251358e+00	-3.13637777110956e-02,-1.66708288402926e-01	1.99998990003824e-02,-2.16029510457193e-12
3.16227766016837e+00	-3.28181682179356e-02,-1.70393533012079e-01	1.99998990003775e-02,-2.21007441624566e-12
3.23593656929627e+00	-3.43388417198612e-02,-1.74150728314544e-01	1.99998990003723e-02,-2.26097521509962e-12
3.31131121482590e+00	-3.59287083473757e-02,-1.77980588498763e-01	1.99998990003669e-02,-2.31302098001171e-12
3.38844156139201e+00	-3.75907954021461e-02,-1.81883779375969e-01	1.99998990003612e-02,-2.36623555705584e-12
3.46736850452530e+00	-3.93282510437087e-02,-1.85860913048965e-01	1.99998990003553e-02,-2.42064315494289e-12
3.54813389233574e+00	-4.11443479860446e-02,-1.89912542207818e-01	1.99998990003491e-02,-2.47626834277530e-12
3.63078054770100e+00	-4.30424871905465e-02,-1.94039154031886e-01	1.99998990003427e-02,-2.53313604473926e-12
3.71535229097171e+00	-4.50262015401728e-02,-1.98241163676886e-01	1.99998990003359e-02,-2.59127153239157e-12
3.80189396320560e+00	-4.70991594777187e-02,-2.02518907325063e-01	1.99998990003288e-02,-2.65070041982947e-12
3.89045144994279e+00	-4.92651685890941e-02,-2.06872634775961e-01	1.99998990003214e-02,-2.71144865578090e-12
3.98107170553496e+00	-5.15281791103032e-02,-2.11302501554692e-01	1.99998990003137e-02,-2.77354251328832e-12
4.07380277804111e+00	-5.38922873344322e-02,-2.15808560514197e-01	1.99998990003056e-02,-2.83700858131456e-12
4.16869383470334e+00	-5.63617388923866e-02,-2.20390752907569e-01	1.99998990002971e-02,-2.90187375209731e-12
4.26579518801591e+00	-5.89409318783532e-02,-2.25048898906279e-01	1.99998990002883e-02,-2.96816520822231e-12
4.36515832240164e+00	-6.16344197879825e-02,-2.29782687539976e-01	1.99998990002791e-02,-3.03591041075532e-12
4.46683592150961e+00	-6.44469142341111e-02,-2.34591666033559e-01	1.99998990002694e-02,-3.10513708162057e-12
4.57088189614873e+00	-6.73832874014216e-02,-2.39475228517381e-01	1.99998990002594e-02,-3.17587318701115e-12
4.67735141287196e+00	-7.04485741978168e-02,-2.44432604086861e-01	1.99998990002488e-02,-3.24814691924624e-12
4.78630092322636e+00	-7.36479740564002e-02,-2.49462844188351e-01	1.99998990002378e-02,-3.32198667635607e-12
4.89778819368444e+00	-7.69868523378630e-02,-2.54564809308994e-01	1.99998990002263e-02,-3.39742103986313e-12
5.01187233627270e+00	-8.04707412787268e-02,-2.59737154949495e-01	1.99998990002143e-02,-3.47447875042934e-12
5.12861383991363e+00	-8.41053404263154e-02,-2.64978316860192e-01	1.99998990002018e-02,-3.55318868313166e-12
5.24807460249770e+00	-8.78965164965151e-02,-2.70286495522729e-01	1.99998990001887e-02,-3.63357981868156e-12
5.37031796370250e+00	-9.18503025853438e-02,-2.75659639861901e-01	1.99998990001751e-02,-3.71568121376969e-12
5.49540873857622e+00	-9.59728966601001e-02,-2.81095430175031e-01	1.99998990001608e-02,-3.79952196921792e-12
5.62341325190346e+00	-1.00270659250399e-01,-2.86591260269498e-01	1.99998990001459e-02,-3.88513119611794e-12
5.75439937337154e+00	-1.04750110253787e-01,-2.92144218802915e-01	1.99998990001304e-02,-3.97253797931440e-12
5.88843655355586e+00	-1.09417924764818e-01,-2.97751069824910e-01	1.99998990001141e-02,-4.06177133748347e-12
6.02559586074355e+00	-1.14280927830588e-01,-3.03408232524666e-01	1.99998990000972e-02,-4.15286018513221e-12
6.16595001861479e+00	-1.19346088029741e-01,-3.09111760194257e-01	1.99998990000796e-02,-4.24583328517811e-12
6.30957344480190e+00	-1.24620509765912e-01,-3.14857318424586e-01	1.99998990000612e-02,-4.34071920813153e-12
6.45654229034652e+00	-1.30111424160630e-01,-3.20640162558317e-01	1.99998990000420e-02,-4.43754627980759e-12
6.60693448007593e+00	-1.35826178424778e-01,-3.26455114432743e-01	1.99998990000220e-02,-4.53634253292920e-12
6.76082975391978e+00	-1.41772223582001e-01,-3.32296538455118e-01	1.99998990000011e-02,-4.63713565554019e-12
6.91830970918933e+00	-1.47957100412003e-01,-3.38158317063570e-01	1.99998989999794e-02,-4.73995293413301e-12
7.07945784384134e+00	-1.54388423476587e-01,-3.44033825638519e-01	1.99998989999568e-02,-4.84482119742508e-12
7.24435960074986e+00	-1.61073863086720e-01,-3.49915906942449e-01	1.99998989999332e-02,-4.95176675812676e-12
7.41310241300914e+00	-1.68021125064920e-01,-3.55796845180078e-01	1.99998989999086e-02,-5.06081535115556e-12
7.58577575029180e+00	-1.75237928154082e-01,-3.61668339786476e-01	1.99998989998830e-02,-5.17199207118673e-12
7.76247116628688e+00	-1.82731978921607e-01,-3.67521479067425e-01	1.99998989998564e-02,-5.28532130757105e-12
7.94328234724277e+00	-1.90510944006567e-01,-3.73346713834507e-01	1.99998989998287e-02,-5.40082668154843e-12
8.12830516164095e+00	-1.98582419557814e-01,-3.79133831196815e-01	1.99998989997998e-02,-5.51853097599674e-12
8.31763771102667e+00	-2.06953897712691e-01,-3.84871928692055e-01	1.99998989997699e-02,-5.63845607218027e-12
8.51138038202372e+00	-2.15632729969467e-01,-3.90549388961832e-01	1.99998989997387e-02,-5.76062287814261e-12
8.70963589956076e+00	-2.24626087312137e-01,-3.96153855199290e-01	1.99998989997063e-02,-5.88505126520906e-12
8.91250938133741e+00	-2.33940916953998e-01,-4.01672207621726e-01	1.99998989996726e-02,-6.01175999851978e-12
9.12010839355905e+00	-2.43583895576750e-01,-4.07090541246270e-01	1.99998989996376e-02,-6.14076667212858e-12
9.33254300796986e+00	-2.53561378954999e-01,-4.12394145273094e-01	1.99998989996013e-02,-6.27208764746418e-12
9.54992586021431e+00	-2.63879347872319e-01,-4.17567484407560e-01	1.99998989995636e-02,-6.40573798709156e-12
9.77237220955806e+00	-2.74543350254682e-01,-4.22594182480161e-01	1.99998989995244e-02,-6.54173140005969e-12
9.99999999999995e+00	-2.85558439470415e-01,-4.27457008750557e-01	1.99998989994838e-02,-6.68008018595258e-12
1.02329299228075e+01	-2.96929108773120e-01,-4.32137867309293e-01	1.99998989994417e-02,-6.82079518561093e-12
1.04712854805089e+01	-3.08659221895515e-01,-4.36617790017351e-01	1.99998989993981e-02,-6.96388573604475e-12
1.07151930523760e+01	-3.20751939838073e-01,-4.40876933449175e-01	1.99998989993529e-02,-7.10935963360843e-12
1.09647819614318e+01	-3.33209643936897e-01,-4.44894580328608e-01	1.99998989993061e-02,-7.25722310279927e-12
1.12201845430196e+01	-3.46033855340615e-01,-4.48649145968757e-01	1.99998989992577e-02,-7.40748077586265e-12
1.14815362149688e+01	-3.59225151076255e-01,-4.52118190245494e-01	1.99998989992075e-02,-7.56013568044533e-12
1.17489755493952e+01	-3.72783076939139e-01,-4.55278435649409e-01	1.99998989991557e-02,-7.71518923928045e-12
1.20226443461741e+01	-3.86706057501763e-01,-4.58105791971761e-01	1.99998989991021e-02,-7.87264128062885e-12
1.23026877081237e+01	-4.00991303601150e-01,-4.60575388185612e-01	1.99998989990468e-02,-8.03249006360123e-12
1.25892541179416e+01	-4.15634717733188e-01,-4.62661612082924e-01	1.99998989989897e-02,-8.19473231675023e-12
1.28824955169313e+01	-4.30630797855422e-01,-4.64338158221201e-01	1.99998989989307e-02,-8.35936329380084e-12
1.31825673855640e+01	-4.45972540176336e-01,-4.65578084718338e-01	1.99998989988699e-02,-8.52637684373838e-12
1.34896288259165e+01	-4.61651341588498e-01,-4.66353879410768e-01	1.99998989988072e-02,-8.69576550260015e-12
1.38038426460288e+01	-4.77656902484426e-01,-4.66637535857155e-01	1.99998989987426e-02,-8.86752060193413e-12
1.41253754462275e+01	-4.93977130776550e-01,-4.66400639626688e-01	1.99998989986762e-02,-9.04163239639531e-12
1.44543977074592e+01	-5.10598048025216e-01,-4.65614465257017e-01	1.99998989986078e-02,-9.21809021699390e-12
1.47910838816820e+01	-5.27503698659914e-01,-4.64250084201298e-01	1.99998989985375e-02,-9.39688264159115e-12
1.51356124843620e+01	-5.44676063357467e-01,-4.62278484006255e-01	1.99998989984654e-02,-9.57799769085323e-12
1.54881661891247e+01	-5.62094977715174e-01,-4.59670698873288e-01	1.99998989983912e-02,-9.76142304612582e-12
1.58489319246110e+01	-5.79738057425216e-01,-4.56397951652299e-01	1.99998989983152e-02,-9.94714629189723e-12
1.62181009735892e+01	-5.97580631217147e-01,-4.52431807203271e-01	1.99998989982372e-02,-1.01351551793592e-11
1.65958690743755e+01	-6.15595682886153e-01,-4.47744336933908e-01	1.99998989981574e-02,-1.03254379177013e-11
1.69824365246173e+01	-6.33753803764086e-01,-4.42308294183583e-01	1.99998989980757e-02,-1.05179834841741e-11
1.73780082874936e+01	-6.52023157016059e-01,-4.36097299975233e-01	1.99998989979921e-02,-1.07127819588427e-11
1.77827941003891e+01	-6.70369455155806e-01,-4.29086038498992e-01	1.99998989979067e-02,-1.09098248809960e-11
1.81970085860997e+01	-6.88755952166228e-01,-4.21250461525708e-01	1.99998989978195e-02,-1.11091056234006e-11
1.86208713666286e+01	-7.07143451585876e-01,-4.12568000776912e-01	1.99998989977305e-02,-1.13106197893252e-11
1.90546071796323e+01	-7.25490331876198e-01,-4.03017787102447e-01	1.99998989976398e-02,-1.15143656209663e-11
1.94984459975803e+01	-7.43752590316789e-01,-3.92580875140212e-01	1.99998989975475e-02,-1.17203444278001e-11
1.99526231496887e+01	-7.61883906585909e-01,-3.81240471956989e-01	1.99998989974536e-02,-1.19285610235476e-11
2.04173794466952e+01	-7.79835727070479e-01,-3.68982167998037e-01	1.99998989973581e-02,-1.21390241734807e-11
2.08929613085403e+01	-7.97557370813392e-01,-3.55794168509035e-01	1.99998989972611e-02,-1.23517470490595e-11
2.13796208950222e+01	-8.14996157846715e-01,-3.41667523440211e-01	1.99998989971627e-02,-1.25667476829761e-11
2.18776162394954e+01	-8.32097560477670e-01,-3.26596353702331e-01	1.99998989970630e-02,-1.27840494272049e-11
2.23872113856832e+01	-8.48805377891487e-01,-3.10578071520711e-01	1.99998989969620e-02,-1.30036814037991e-11
2.29086765276776e+01	-8.65061934212819e-01,-2.93613592529698e-01	1.99998989968598e-02,-1.32256789515643e-11
2.34422881531991e+01	-8.80808299927621e-01,-2.75707537168951e-01	1.99998989967566e-02,-1.34500840561769e-11
2.39883291901947e+01	-8.95984536312459e-01,-2.56868418886936e-01	1.99998989966523e-02,-1.36769457704171e-11
2.45470891568501e+01	-9.10529962251348e-01,-2.37108816628706e-01	1.99998989965472e-02,-1.39063206117700e-11
