*Frequency 	VM1-abs (dB)	VM1-phase (deg)	Vin-abs (dB)	Vin-phase (deg)
0.001			-58.0158136749286	-90.0720017951462	0	0
0.00102093948370768	-57.8358139651456	-90.0735094739252	0	0
0.0010423174293933	-57.6558142676439	-90.0750487226144	0	0
0.00106414301822432	-57.4758145829431	-90.0766202022647	0	0
0.00108642562361707	-57.295814911585	-90.0782245877686	0	0
0.0011091748152624	-57.115815254134	-90.0798625681501	0	0
0.00113240036323556	-56.9358156111789	-90.0815348468604	0	0
0.0011561122421921	-56.755815983333	-90.0832421420802	0	0
0.00118032063565173	-56.5758163712356	-90.0849851870279	0	0
0.0012050359403718	-56.3958167755532	-90.0867647302746	0	0
0.00123026877081238	-56.2158171969805	-90.0885815360654	0	0
0.00125602996369487	-56.0358176362414	-90.0904363846477	0	0
0.00128233058265602	-55.8558180940907	-90.0923300726061	0	0
0.00130918192299941	-55.6758185713149	-90.0942634132045	0	0
0.00133659551654644	-55.495819068734	-90.0962372367355	0	0
0.00136458313658892	-55.3158195872026	-90.0982523908764	0	0
0.0013931568029453	-55.1358201276113	-90.1003097410539	0	0
0.00142232878712282	-54.9558206908886	-90.102410170815	0	0
0.00145211161758774	-54.7758212780023	-90.1045545822069	0	0
0.00148251808514595	-54.5958218899611	-90.106743896164	0	0
0.00151356124843621	-54.4158225278163	-90.1089790529034	0	0
0.00154525443953841	-54.2358231926638	-90.1112610123288	0	0
0.00157761126969935	-54.0558238856459	-90.1135907544422	0	0
0.00161064563517827	-53.875824607953	-90.1159692797651	0	0
0.00164437172321493	-53.6958253608262	-90.1183976097679	0	0
0.00167880401812256	-53.5158261455589	-90.1208767873084	0	0
0.00171395730750843	-53.3358269634993	-90.1234078770796	0	0
0.00174984668862466	-53.1558278160527	-90.1259919660669	0	0
0.00178648757485205	-52.9758287046838	-90.1286301640146	0	0
0.00182389570231964	-52.7958296309193	-90.1313236039026	0	0
0.00186208713666287	-52.6158305963505	-90.1340734424324	0	0
0.0019010782799233	-52.435831602636	-90.1368808605241	0	0
0.00194088587759278	-52.2558326515047	-90.1397470638231	0	0
0.0019815270258051	-52.0758337447585	-90.1426732832177	0	0
0.00202301917867827	-51.8958348842757	-90.1456607753678	0	0
0.00206538015581053	-51.7158360720141	-90.148710823244	0	0
0.00210862814993329	-51.5358373100141	-90.1518247366784	0	0
0.00215278173472437	-51.3558386004028	-90.1550038529272	0	0
0.00219785987278482	-51.1758399453969	-90.1582495372441	0	0
0.00224388192378277	-50.9958413473074	-90.1615631834671	0	0
0.00229086765276777	-50.8158428085426	-90.1649462146161	0	0
0.00233883723865935	-50.6358443316129	-90.1684000835042	0	0
0.00238781128291318	-50.4558459191352	-90.1719262733609	0	0
0.00243781081836875	-50.2758475738367	-90.1755262984691	0	0
0.00248885731828239	-50.0958492985602	-90.1792017048145	0	0
0.0025409727055493	-49.9158510962688	-90.1829540707495	0	0
0.00259417936211881	-49.7358529700511	-90.1867850076708	0	0
0.0026485001386067	-49.5558549231262	-90.1906961607103	0	0
0.00270395836410884	-49.3758569588494	-90.1946892094417	0	0
0.00276057785622035	-49.1958590807182	-90.1987658686007	0	0
0.00281838293126445	-49.0158612923779	-90.2029278888215	0	0
0.00287739841473567	-48.8358635976282	-90.2071770573873	0	0
0.00293764965196153	-48.6558660004295	-90.211515198998	0	0
0.00299916251898765	-48.4758685049097	-90.2159441765522	0	0
0.00306196343369068	-48.2958711153715	-90.2204658919473	0	0
0.00312607936712395	-48.1158738362997	-90.225082286895	0	0
0.00319153785510076	-47.9358766723688	-90.2297953437544	0	0
0.00325836701002009	-47.7558796284511	-90.2346070863828	0	0
