date , Sv , C 
Mon Jul 13 22:26:42 2020, 73.41, 775.0
Tue Nov 10 11:44:57 2020, 63.18, 850.0
Tue Nov 10 11:45:43 2020, 63.54, 850.0
Mon Nov 23 15:36:49 2020, 58.19, 970.0
Mon Nov 23 15:37:11 2020, 59.03, 970.0
Mon Nov 23 15:37:41 2020, 0.00, 970.0
Mon Nov 23 15:38:09 2020, 54.35, 970.0
Mon Nov 23 15:38:35 2020, 54.53, 970.0
