date , Sv , C 
Thu Oct 17 11:04:25 2024, 44.62, 800.0
Thu Oct 17 11:04:56 2024, 43.39, 800.0
Thu Oct 17 11:05:21 2024, 44.40, 800.0
Thu Mar 27 15:48:31 2025, 25.01, 781.4
Thu Mar 27 15:49:25 2025, 29.09, 781.4
Thu Mar 27 15:49:57 2025, 22.06, 781.4
Thu Mar 27 15:54:08 2025, 33.61, 781.4
Thu Mar 27 15:55:12 2025, 30.30, 781.4
Thu Mar 27 15:55:42 2025, 40.04, 781.4
Mon Mar 31 13:23:54 2025, 3.41, 781.4
Mon Mar 31 13:25:06 2025, 32.00, 781.4
Mon Mar 31 13:25:52 2025, 34.28, 781.4
Mon Mar 31 13:28:31 2025, 31.99, 781.4
Mon Mar 31 13:29:54 2025, 36.44, 781.4
Mon Mar 31 13:30:52 2025, 37.10, 781.4
Mon Mar 31 13:33:21 2025, 36.40, 781.4
