date , Sv , C 
Thu Oct 18 11:55:21 2018, 32.41, 727.0
date , Sv , C 
Thu Oct 18 11:56:31 2018, 34.05, 727.0
date , Sv , C 
Mon Oct 22 15:31:46 2018, 36.94, 825.0
date , Sv , C 
Mon Oct 22 15:32:11 2018, 38.78, 825.0
date , Sv , C 
Mon Oct 22 15:41:00 2018, 51.27, 825.0
date , Sv , C 
Mon Oct 22 15:42:05 2018, 52.83, 825.0
