date , Sv , C 
Fri Aug 24 21:55:01 2018, 0.00, 756.0
date , Sv , C 
Fri Aug 24 21:55:32 2018, 0.00, 756.0
date , Sv , C 
Sat Aug 25 18:03:32 2018, 62.37, 756.0
date , Sv , C 
Sat Aug 25 18:03:55 2018, 60.05, 756.0
date , Sv , C 
Thu Oct 18 12:32:02 2018, 28.12, 738.0
date , Sv , C 
Thu Oct 18 12:33:12 2018, 29.08, 738.0
date , Sv , C 
Mon Oct 22 16:13:36 2018, 53.87, 827.0
date , Sv , C 
Mon Oct 22 16:13:59 2018, 53.93, 827.0
