*Frequency 	VM1-abs (dB)	VM1-phase (deg)	Vin-abs (dB)	Vin-phase (deg)
0.001	-58.0158136756847	-90.0727577951462	0	0
0.00102093948370768	-57.8358139659337	-90.0742813041749	0	0
0.0010423174293933	-57.6558142684654	-90.075836714591	0	0
0.00106414301822432	-57.4758145837993	-90.0774246943865	0	0
0.00108642562361707	-57.2958149124774	-90.07904592554	0	0
0.0011091748152624	-57.1158152550643	-90.0807011043104	0	0
0.00113240036323556	-56.9358156121485	-90.0823909415349	0	0
0.0011561122421921	-56.7558159843436	-90.0841161629352	0	0
0.00118032063565173	-56.5758163722889	-90.0858775094284	0	0
0.0012050359403718	-56.3958167766511	-90.0876757374454	0	0
0.00123026877081238	-56.2158171981249	-90.0895116192561	0	0
0.00125602996369487	-56.0358176374342	-90.0913859433002	0	0
0.00128233058265602	-55.855818095334	-90.0932995145265	0	0
0.00130918192299941	-55.6758185726109	-90.0952531547382	0	0
0.00133659551654644	-55.4958190700848	-90.0972477029459	0	0
0.00136458313658892	-55.3158195886105	-90.0992840157276	0	0
0.0013931568029453	-55.1358201290788	-90.1013629675968	0	0
0.00142232878712282	-54.9558206924182	-90.1034854513779	0	0
0.00145211161758774	-54.7758212795967	-90.1056523785897	0	0
0.00148251808514595	-54.5958218916229	-90.1078646798362	0	0
0.00151356124843621	-54.4158225295485	-90.1101233052071	0	0
0.00154525443953841	-54.2358231944693	-90.1124292246849	0	0
0.00157761126969935	-54.0558238875277	-90.1147834285619	0	0
0.00161064563517827	-53.8758246099145	-90.1171869278651	0	0
0.00164437172321493	-53.6958253628707	-90.1196407547904	0	0
0.00167880401812256	-53.5158261476899	-90.1221459631458	0	0
0.00171395730750843	-53.3358269657205	-90.1247036288038	0	0
0.00174984668862466	-53.1558278183679	-90.1273148501633	0	0
0.00178648757485205	-52.975828707097	-90.129980748621	0	0
0.00182389570231964	-52.7958296334346	-90.1327024690533	0	0
0.00186208713666287	-52.6158305989722	-90.1354811803075	0	0
0.0019010782799233	-52.4358316053686	-90.1383180757034	0	0
0.00194088587759278	-52.2558326543529	-90.1412143735462	0	0
0.0019815270258051	-52.0758337477273	-90.1441713176489	0	0
0.00202301917867827	-51.8958348873702	-90.1471901778665	0	0
0.00206538015581053	-51.7158360752395	-90.1502722506414	0	0
0.00210862814993329	-51.535837313376	-90.1534188595593	0	0
0.00215278173472437	-51.3558386039069	-90.1566313559182	0	0
0.00219785987278482	-51.1758399490494	-90.1599111193075	0	0
0.00224388192378277	-50.9958413511144	-90.163259558201	0	0
0.00229086765276777	-50.8158428125107	-90.1666781105611	0	0
0.00233883723865935	-50.635844335749	-90.1701682444561	0	0
0.00238781128291318	-50.4558459234462	-90.1737314586903	0	0
0.00243781081836875	-50.2758475783301	-90.1773692834472	0	0
0.00248885731828239	-50.0958493032438	-90.1810832809464	0	0
0.0025409727055493	-49.9158511011507	-90.1848750461142	0	0
0.00259417936211881	-49.7358529751395	-90.1887462072678	0	0
0.0026485001386067	-49.5558549284299	-90.1926984268143	0	0
0.00270395836410884	-49.3758569643776	-90.1967334019641	0	0
0.00276057785622035	-49.1958590864803	-90.2008528654591	0	0
0.00281838293126445	-49.0158612983839	-90.2050585863165	0	0
0.00287739841473567	-48.8358636038884	-90.2093523705878	0	0
0.00293764965196153	-48.6558660069545	-90.2137360621338	0	0
0.00299916251898765	-48.4758685117108	-90.2182115434154	0	0
0.00306196343369068	-48.2958711224605	-90.2227807363019	0	0
0.00312607936712395	-48.1158738436887	-90.2274456028952	0	0
0.00319153785510076	-47.9358766800704	-90.2322081463714	0	0
0.00325836701002009	-47.7558796364786	-90.2370704118409	0	0
0.00332659553294004	-47.5758827179922	-90.2420344872247	0	0
