Freq.	V(vin)	V(vout)
2.51188643150957e-002	2.99998485007329e-002,-2.53620465306212e-014	-2.09241673991183e-006,-1.89390432033792e-003
2.57039578276885e-002	2.99998485007329e-002,-2.59528041488147e-014	-2.19102922819899e-006,-1.93801893032286e-003
2.63026799189537e-002	2.99998485007329e-002,-2.65573222586080e-014	-2.29428917268328e-006,-1.98316109523180e-003
2.69153480392690e-002	2.99998485007329e-002,-2.71759213743557e-014	-2.40241560053318e-006,-2.02935474943982e-003
2.75422870333815e-002	2.99998485007329e-002,-2.78089294891368e-014	-2.51563786128261e-006,-2.07662438479272e-003
2.81838293126444e-002	2.99998485007329e-002,-2.84566822295922e-014	-2.63419611330255e-006,-2.12499506358992e-003
2.88403150312659e-002	2.99998485007329e-002,-2.91195230346131e-014	-2.75834183319894e-006,-2.17449243186950e-003
2.95120922666637e-002	2.99998485007329e-002,-2.97978033551500e-014	-2.88833834921657e-006,-2.22514273300261e-003
3.01995172040200e-002	2.99998485007329e-002,-3.04918828138616e-014	-3.02446139978140e-006,-2.27697282160421e-003
3.09029543251357e-002	2.99998485007329e-002,-3.12021294229868e-014	-3.16699971836469e-006,-2.33001017776778e-003
3.16227766016836e-002	2.99998485007329e-002,-3.19289197612401e-014	-3.31625564591089e-006,-2.38428292163126e-003
3.23593656929626e-002	2.99998485007329e-002,-3.26726391729525e-014	-3.47254577212624e-006,-2.43981982828210e-003
3.31131121482589e-002	2.99998485007329e-002,-3.34336819895286e-014	-3.63620160699035e-006,-2.49665034300926e-003
3.38844156139201e-002	2.99998485007329e-002,-3.42124517208966e-014	-3.80757028391352e-006,-2.55480459691012e-003
3.46736850452530e-002	2.99998485007329e-002,-3.50093612693333e-014	-3.98701529603137e-006,-2.61431342286072e-003
3.54813389233573e-002	2.99998485007329e-002,-3.58248331748137e-014	-4.17491726719851e-006,-2.67520837185765e-003
3.63078054770099e-002	2.99998485007329e-002,-3.66592997880955e-014	-4.37167475931726e-006,-2.73752172974027e-003
3.71535229097170e-002	2.99998485007329e-002,-3.75132035684112e-014	-4.57770511771174e-006,-2.80128653430207e-003
3.80189396320559e-002	2.99998485007329e-002,-3.83869972493153e-014	-4.79344535634200e-006,-2.86653659280022e-003
3.89045144994278e-002	2.99998485007329e-002,-3.92811441149476e-014	-5.01935308473509e-006,-2.93330649987259e-003
3.98107170553495e-002	2.99998485007329e-002,-4.01961182592243e-014	-5.25590747859816e-006,-3.00163165587168e-003
4.07380277804110e-002	2.99998485007329e-002,-4.11324047974648e-014	-5.50361029617303e-006,-3.07154828562506e-003
4.16869383470333e-002	2.99998485007329e-002,-4.20905001541947e-014	-5.76298694248744e-006,-3.14309345763243e-003
4.26579518801590e-002	2.99998485007329e-002,-4.30709123204642e-014	-6.03458758376015e-006,-3.21630510370911e-003
4.36515832240163e-002	2.99998485007329e-002,-4.40741611100950e-014	-6.31898831432200e-006,-3.29122203908674e-003
4.46683592150960e-002	2.99998485007329e-002,-4.51007784476792e-014	-6.61679237853002e-006,-3.36788398298136e-003
4.57088189614872e-002	2.99998485007329e-002,-4.61513086502082e-014	-6.92863145026386e-006,-3.44633157964004e-003
4.67735141287195e-002	2.99998485007329e-002,-4.72263087118685e-014	-7.25516697271880e-006,-3.52660641987702e-003
4.78630092322635e-002	2.99998485007329e-002,-4.83263485904573e-014	-7.59709156133664e-006,-3.60875106311069e-003
4.89778819368443e-002	2.99998485007329e-002,-4.94520115425725e-014	-7.95513047284993e-006,-3.69280905991313e-003
5.01187233627269e-002	2.99998485007329e-002,-5.06038943789890e-014	-8.33004314355310e-006,-3.77882497508399e-003
5.12861383991362e-002	2.99998485007329e-002,-5.17826078467300e-014	-8.72262480006551e-006,-3.86684441126086e-003
5.24807460249769e-002	2.99998485007329e-002,-5.29887768791807e-014	-9.13370814599934e-006,-3.95691403307868e-003
5.37031796370249e-002	2.99998485007329e-002,-5.42230410001586e-014	-9.56416512811151e-006,-4.04908159189074e-003
5.49540873857621e-002	2.99998485007329e-002,-5.54860546029357e-014	-1.00149087856813e-005,-4.14339595106441e-003
5.62341325190346e-002	2.99998485007329e-002,-5.67784873423772e-014	-1.04868951870402e-005,-4.23990711186486e-003
5.75439937337153e-002	2.99998485007329e-002,-5.81010244507977e-014	-1.09811254573554e-005,-4.33866623994027e-003
5.88843655355585e-002	2.99998485007329e-002,-5.94543671342438e-014	-1.14986479019701e-005,-4.43972569242273e-003
6.02559586074354e-002	2.99998485007329e-002,-6.08392329422074e-014	-1.20405602298037e-005,-4.54313904565869e-003
6.16595001861478e-002	2.99998485007329e-002,-6.22563561028833e-014	-1.26080118815181e-005,-4.64896112358385e-003
6.30957344480189e-002	2.99998485007329e-002,-6.37064879683134e-014	-1.32022064674020e-005,-4.75724802675719e-003
6.45654229034651e-002	2.99998485007329e-002,-6.51903973930147e-014	-1.38244043201257e-005,-4.86805716206944e-003
6.60693448007592e-002	2.99998485007329e-002,-6.67088711389238e-014	-1.44759251677919e-005,-4.98144727314155e-003
6.76082975391978e-002	2.99998485007329e-002,-6.82627142662088e-014	-1.51581509329392e-005,-5.09747847142909e-003
6.91830970918932e-002	2.99998485007329e-002,-6.98527506230381e-014	-1.58725286634441e-005,-5.21621226804887e-003
7.07945784384133e-002	2.99998485007329e-002,-7.14798232103676e-014	-1.66205736015238e-005,-5.33771160634449e-003
7.24435960074985e-002	2.99998485007329e-002,-7.31447946816776e-014	-1.74038723973564e-005,-5.46204089520769e-003
7.41310241300913e-002	2.99998485007329e-002,-7.48485477847005e-014	-1.82240864741244e-005,-5.58926604317319e-003
7.58577575029179e-002	2.99998485007329e-002,-7.65919858308805e-014	-1.90829555516170e-005,-5.71945449330456e-003
7.76247116628687e-002	2.99998485007329e-002,-7.83760331434621e-014	-1.99823013358680e-005,-5.85267525888949e-003
7.94328234724276e-002	2.99998485007329e-002,-8.02016355997329e-014	-2.09240313826354e-005,-5.98899895996305e-003
8.12830516164094e-002	2.99998485007329e-002,-8.20697610922168e-014	-2.19101431429314e-005,-6.12849786067798e-003
8.31763771102666e-002	2.99998485007329e-002,-8.39814000648520e-014	-2.29427281991630e-005,-6.27124590754141e-003
8.51138038202371e-002	2.99998485007329e-002,-8.59375660073360e-014	-2.40239767008721e-005,-6.41731876853802e-003
8.70963589956075e-002	2.99998485007328e-002,-8.79392960464409e-014	-2.51561820094700e-005,-6.56679387315989e-003
8.91250938133740e-002	2.99998485007328e-002,-8.99876514344214e-014	-2.63417455618178e-005,-6.71975045336389e-003
9.12010839355904e-002	2.99998485007328e-002,-9.20837181492043e-014	-2.75831819629585e-005,-6.87626958547781e-003
9.33254300796985e-002	2.99998485007328e-002,-9.42286074724053e-014	-2.88831243187902e-005,-7.03643423307699e-003
9.54992586021430e-002	2.99998485007328e-002,-9.64234565244964e-014	-3.02443298199879e-005,-7.20032929085372e-003
9.77237220955804e-002	2.99998485007328e-002,-9.86694289501386e-014	-3.16696855890056e-005,-7.36804162950189e-003
9.99999999999993e-002	2.99998485007328e-002,-1.00967715496101e-013	-3.31622148025492e-005,-7.53966014164034e-003
1.02329299228075e-001	2.99998485007328e-002,-1.03319534584549e-013	-3.47250831024897e-005,-7.71527578879847e-003
1.04712854805089e-001	2.99998485007328e-002,-1.05726133076078e-013	-3.63616053088132e-005,-7.89498164948827e-003
1.07151930523760e-001	2.99998485007328e-002,-1.08188786824824e-013	-3.80752524488135e-005,-8.07887296838766e-003
1.09647819614318e-001	2.99998485007328e-002,-1.10708801408706e-013	-3.98696591174418e-005,-8.26704720666029e-003
1.12201845430196e-001	2.99998485007328e-002,-1.13287512826902e-013	-4.17486311843844e-005,-8.45960409343768e-003
1.14815362149687e-001	2.99998485007328e-002,-1.15926288156516e-013	-4.37161538642158e-005,-8.65664567849004e-003
1.17489755493952e-001	2.99998485007328e-002,-1.18626526329965e-013	-4.57764001667096e-005,-8.85827638611281e-003
1.20226443461740e-001	2.99998485007328e-002,-1.21389658832917e-013	-4.79337397452184e-005,-9.06460307025620e-003
1.23026877081237e-001	2.99998485007327e-002,-1.24217150511842e-013	-5.01927481618482e-005,-9.27573507092614e-003
1.25892541179416e-001	2.99998485007327e-002,-1.27110500310275e-013	-5.25582165890720e-005,-9.49178427188510e-003
1.28824955169312e-001	2.99998485007327e-002,-1.30071242074149e-013	-5.50351619683098e-005,-9.71286515968211e-003
1.31825673855640e-001	2.99998485007327e-002,-1.33100945335811e-013	-5.76288376470024e-005,-9.93909488404199e-003
1.34896288259164e-001	2.99998485007327e-002,-1.36201216267077e-013	-6.03447445166892e-005,-1.01705933196442e-002
1.38038426460287e-001	2.99998485007327e-002,-1.39373698278892e-013	-6.31886426756873e-005,-1.04074831293224e-002
1.41253754462274e-001	2.99998485007327e-002,-1.42620073210766e-013	-6.61665636410517e-005,-1.06498898287171e-002
1.44543977074592e-001	2.99998485007327e-002,-1.45942061945344e-013	-6.92848231356824e-005,-1.08979418524124e-002
1.47910838816820e-001	2.99998485007326e-002,-1.49341425477291e-013	-7.25500344776239e-005,-1.11517706215922e-002
1.51356124843620e-001	2.99998485007326e-002,-1.52819965787133e-013	-7.59691225999251e-005,-1.14115106132469e-002
1.54881661891247e-001	2.99998485007326e-002,-1.56379526864167e-013	-7.95493387307079e-005,-1.16772994309676e-002
1.58489319246110e-001	2.99998485007326e-002,-1.60021995483579e-013	-8.32982757645219e-005,-1.19492778773613e-002
1.62181009735892e-001	2.99998485007326e-002,-1.63749302516075e-013	-8.72238843574981e-005,-1.22275900281232e-002
1.65958690743755e-001	2.99998485007326e-002,-1.67563423647598e-013	-9.13344897803734e-005,-1.25123833078029e-002
1.69824365246173e-001	2.99998485007326e-002,-1.71466380643715e-013	-9.56388095650118e-005,-1.28038085673019e-002
1.73780082874936e-001	2.99998485007325e-002,-1.75460242283198e-013	-1.00145971981764e-004,-1.31020201631391e-002
1.77827941003891e-001	2.99998485007325e-002,-1.79547125528793e-013	-1.04865535386740e-004,-1.34071760385247e-002
1.81970085860997e-001	2.99998485007325e-002,-1.83729196538357e-013	-1.09807508479903e-004,-1.37194378062804e-002
1.86208713666285e-001	2.99998485007325e-002,-1.88008672037491e-013	-1.14982371516807e-004,-1.40389708336461e-002
1.90546071796323e-001	2.99998485007324e-002,-1.92387820201682e-013	-1.20401098518832e-004,-1.43659443290150e-002
1.94984459975803e-001	2.99998485007324e-002,-1.96868962094264e-013	-1.26075180528855e-004,-1.47005314306369e-002
1.99526231496886e-001	2.99998485007324e-002,-2.01454472745210e-013	-1.32016649961497e-004,-1.50429092973333e-002
2.04173794466951e-001	2.99998485007324e-002,-2.06146782467988e-013	-1.38238106099395e-004,-1.53932592012662e-002
2.08929613085402e-001	2.99998485007323e-002,-2.10948378108679e-013	-1.44752741789360e-004,-1.57517666228055e-002
2.13796208950222e-001	2.99998485007323e-002,-2.15861804432616e-013	-1.51574371394816e-004,-1.61186213475376e-002
2.18776162394954e-001	2.99998485007323e-002,-2.20889665380258e-013	-1.58717460063510e-004,-1.64940175654619e-002
2.23872113856832e-001	2.99998485007323e-002,-2.26034625488377e-013	-1.66197154372334e-004,-1.68781539724200e-002
2.29086765276776e-001	2.99998485007322e-002,-2.31299411317492e-013	-1.74029314413884e-004,-1.72712338738048e-002
2.34422881531990e-001	2.99998485007322e-002,-2.36686812803723e-013	-1.82230547392521e-004,-1.76734652905954e-002
2.39883291901947e-001	2.99998485007321e-002,-2.42199684830999e-013	-1.90818242800751e-004,-1.80850610677676e-002
2.45470891568501e-001	2.99998485007321e-002,-2.47840948703804e-013	-1.99810609250189e-004,-1.85062389851263e-002
