date , Sv , C 
Thu May 10 15:23:01 2018, 0.00, 732.1
date , Sv , C 
Thu May 10 15:24:29 2018, 0.00, 732.1
date , Sv , C 
Thu May 10 15:37:26 2018, 0.00, 732.1
date , Sv , C 
Thu May 10 15:39:31 2018, 32.17, 732.1
date , Sv , C 
Fri Oct  5 15:09:35 2018, 22.82, 763.0
date , Sv , C 
Fri Oct  5 15:10:06 2018, 25.53, 763.0
date , Sv , C 
Fri Oct  5 15:10:32 2018, 28.07, 763.0
