Freq.	V(vin)
5.62341325190346e-002	(-3.04576187692480e+001dB,-1.08439470678517e-010°)
5.75439937337153e-002	(-3.04576187692480e+001dB,-1.10965343252843e-010°)
5.88843655355585e-002	(-3.04576187692480e+001dB,-1.13550050438763e-010°)
6.02559586074354e-002	(-3.04576187692480e+001dB,-1.16194962661782e-010°)
6.16595001861478e-002	(-3.04576187692480e+001dB,-1.18901482201538e-010°)
6.30957344480189e-002	(-3.04576187692480e+001dB,-1.21671044041977e-010°)
6.45654229034651e-002	(-3.04576187692480e+001dB,-1.24505116594477e-010°)
6.60693448007592e-002	(-3.04576187692480e+001dB,-1.27405202471240e-010°)
6.76082975391978e-002	(-3.04576187692480e+001dB,-1.30372839231695e-010°)
6.91830970918932e-002	(-3.04576187692480e+001dB,-1.33409600317886e-010°)
7.07945784384133e-002	(-3.04576187692480e+001dB,-1.36517095751176e-010°)
7.24435960074985e-002	(-3.04576187692480e+001dB,-1.39696973086671e-010°)
7.41310241300913e-002	(-3.04576187692480e+001dB,-1.42950918256865e-010°)
7.58577575029179e-002	(-3.04576187692480e+001dB,-1.46280656468250e-010°)
7.76247116628687e-002	(-3.04576187692480e+001dB,-1.49687953057101e-010°)
7.94328234724276e-002	(-3.04576187692480e+001dB,-1.53174614525091e-010°)
8.12830516164094e-002	(-3.04576187692480e+001dB,-1.56742489420109e-010°)
8.31763771102666e-002	(-3.04576187692480e+001dB,-1.60393469360293e-010°)
8.51138038202371e-002	(-3.04576187692480e+001dB,-1.64129489978158e-010°)
8.70963589956075e-002	(-3.04576187692480e+001dB,-1.67952532049936e-010°)
8.91250938133740e-002	(-3.04576187692480e+001dB,-1.71864622428369e-010°)
9.12010839355904e-002	(-3.04576187692480e+001dB,-1.75867835188992e-010°)
9.33254300796985e-002	(-3.04576187692480e+001dB,-1.79964292734073e-010°)
9.54992586021430e-002	(-3.04576187692480e+001dB,-1.84156166814705e-010°)
9.77237220955804e-002	(-3.04576187692480e+001dB,-1.88445679839709e-010°)
9.99999999999993e-002	(-3.04576187692480e+001dB,-1.92835105979382e-010°)
1.02329299228075e-001	(-3.04576187692480e+001dB,-1.97326772260400e-010°)
1.04712854805089e-001	(-3.04576187692480e+001dB,-2.01923060023114e-010°)
1.07151930523760e-001	(-3.04576187692480e+001dB,-2.06626405981736e-010°)
1.09647819614318e-001	(-3.04576187692480e+001dB,-2.11439303619014e-010°)
1.12201845430196e-001	(-3.04576187692480e+001dB,-2.16364304518309e-010°)
1.14815362149687e-001	(-3.04576187692480e+001dB,-2.21404019617750e-010°)
1.17489755493952e-001	(-3.04576187692480e+001dB,-2.26561120694943e-010°)
1.20226443461740e-001	(-3.04576187692480e+001dB,-2.31838341699932e-010°)
1.23026877081237e-001	(-3.04576187692480e+001dB,-2.37238480297527e-010°)
1.25892541179416e-001	(-3.04576187692480e+001dB,-2.42764399273458e-010°)
1.28824955169312e-001	(-3.04576187692480e+001dB,-2.48419028072464e-010°)
1.31825673855640e-001	(-3.04576187692480e+001dB,-2.54205364295663e-010°)
1.34896288259164e-001	(-3.04576187692480e+001dB,-2.60126475520751e-010°)
1.38038426460287e-001	(-3.04576187692480e+001dB,-2.66185500447284e-010°)
1.41253754462274e-001	(-3.04576187692481e+001dB,-2.72385651168342e-010°)
1.44543977074592e-001	(-3.04576187692481e+001dB,-2.78730214344276e-010°)
1.47910838816820e-001	(-3.04576187692481e+001dB,-2.85222553244137e-010°)
1.51356124843620e-001	(-3.04576187692481e+001dB,-2.91866109414603e-010°)
1.54881661891247e-001	(-3.04576187692481e+001dB,-2.98664404633599e-010°)
1.58489319246110e-001	(-3.04576187692481e+001dB,-3.05621042394488e-010°)
1.62181009735892e-001	(-3.04576187692481e+001dB,-3.12739710407302e-010°)
1.65958690743755e-001	(-3.04576187692481e+001dB,-3.20024181973303e-010°)
1.69824365246173e-001	(-3.04576187692481e+001dB,-3.27478318399797e-010°)
1.73780082874936e-001	(-3.04576187692481e+001dB,-3.35106070783146e-010°)
1.77827941003891e-001	(-3.04576187692481e+001dB,-3.42911482244793e-010°)
1.81970085860997e-001	(-3.04576187692481e+001dB,-3.50898689862399e-010°)
1.86208713666285e-001	(-3.04576187692481e+001dB,-3.59071927291382e-010°)
1.90546071796323e-001	(-3.04576187692481e+001dB,-3.67435526449708e-010°)
1.94984459975803e-001	(-3.04576187692481e+001dB,-3.75993920264196e-010°)
1.99526231496886e-001	(-3.04576187692481e+001dB,-3.84751644730874e-010°)
2.04173794466951e-001	(-3.04576187692481e+001dB,-3.93713341430002e-010°)
2.08929613085402e-001	(-3.04576187692481e+001dB,-4.02883759911726e-010°)
2.13796208950222e-001	(-3.04576187692482e+001dB,-4.12267760344368e-010°)
2.18776162394954e-001	(-3.04576187692482e+001dB,-4.21870315912991e-010°)
2.23872113856832e-001	(-3.04576187692482e+001dB,-4.31696515533674e-010°)
2.29086765276776e-001	(-3.04576187692482e+001dB,-4.41751566579721e-010°)
2.34422881531990e-001	(-3.04576187692482e+001dB,-4.52040797463538e-010°)
2.39883291901947e-001	(-3.04576187692482e+001dB,-4.62569660639329e-010°)
2.45470891568501e-001	(-3.04576187692482e+001dB,-4.73343735415855e-010°)
2.51188643150956e-001	(-3.04576187692482e+001dB,-4.84368730739710e-010°)
2.57039578276884e-001	(-3.04576187692482e+001dB,-4.95650488549974e-010°)
2.63026799189536e-001	(-3.04576187692482e+001dB,-5.07194986555477e-010°)
2.69153480392689e-001	(-3.04576187692483e+001dB,-5.19008341489328e-010°)
2.75422870333815e-001	(-3.04576187692483e+001dB,-5.31096812365098e-010°)
2.81838293126443e-001	(-3.04576187692483e+001dB,-5.43466803553111e-010°)
2.88403150312658e-001	(-3.04576187692483e+001dB,-5.56124868634173e-010°)
2.95120922666636e-001	(-3.04576187692483e+001dB,-5.69077713380121e-010°)
3.01995172040199e-001	(-3.04576187692483e+001dB,-5.82332199455521e-010°)
3.09029543251357e-001	(-3.04576187692484e+001dB,-5.95895347952516e-010°)
3.16227766016835e-001	(-3.04576187692484e+001dB,-6.09774343443315e-010°)
3.23593656929626e-001	(-3.04576187692484e+001dB,-6.23976537064631e-010°)
3.31131121482589e-001	(-3.04576187692484e+001dB,-6.38509451103379e-010°)
3.38844156139200e-001	(-3.04576187692484e+001dB,-6.53380782428972e-010°)
3.46736850452529e-001	(-3.04576187692485e+001dB,-6.68598406921156e-010°)
3.54813389233573e-001	(-3.04576187692485e+001dB,-6.84170383182808e-010°)
3.63078054770098e-001	(-3.04576187692485e+001dB,-7.00104957137706e-010°)
3.71535229097170e-001	(-3.04576187692485e+001dB,-7.16410566152705e-010°)
3.80189396320558e-001	(-3.04576187692486e+001dB,-7.33095843597863e-010°)
3.89045144994277e-001	(-3.04576187692486e+001dB,-7.50169623132068e-010°)
3.98107170553494e-001	(-3.04576187692486e+001dB,-7.67640943710494e-010°)
4.07380277804109e-001	(-3.04576187692486e+001dB,-7.85519053822094e-010°)
4.16869383470332e-001	(-3.04576187692487e+001dB,-8.03813416597548e-010°)
4.26579518801589e-001	(-3.04576187692487e+001dB,-8.22533714952068e-010°)
4.36515832240162e-001	(-3.04576187692487e+001dB,-8.41689856100721e-010°)
4.46683592150959e-001	(-3.04576187692488e+001dB,-8.61291977330946e-010°)
4.57088189614871e-001	(-3.04576187692488e+001dB,-8.81350450789019e-010°)
4.67735141287194e-001	(-3.04576187692489e+001dB,-9.01875889266051e-010°)
4.78630092322634e-001	(-3.04576187692489e+001dB,-9.22879151058707e-010°)
4.89778819368442e-001	(-3.04576187692489e+001dB,-9.44371346904272e-010°)
5.01187233627268e-001	(-3.04576187692490e+001dB,-9.66363843894316e-010°)
5.12861383991360e-001	(-3.04576187692490e+001dB,-9.88868273429802e-010°)
5.24807460249768e-001	(-3.04576187692491e+001dB,-1.01189653566251e-009°)
5.37031796370248e-001	(-3.04576187692491e+001dB,-1.03546080603012e-009°)
5.49540873857620e-001	(-3.04576187692492e+001dB,-1.05957354213005e-009°)
5.62341325190344e-001	(-3.04576187692492e+001dB,-1.08424748971235e-009°)
5.75439937337152e-001	(-3.04576187692493e+001dB,-1.10949568903790e-009°)
5.88843655355584e-001	(-3.04576187692494e+001dB,-1.13533148182202e-009°)
6.02559586074352e-001	(-3.04576187692494e+001dB,-1.16176851861040e-009°)
6.16595001861477e-001	(-3.04576187692495e+001dB,-1.18882076455074e-009°)
6.30957344480188e-001	(-3.04576187692496e+001dB,-1.21650250812616e-009°)
6.45654229034650e-001	(-3.04576187692496e+001dB,-1.24482836664874e-009°)
6.60693448007590e-001	(-3.04576187692497e+001dB,-1.27381329536721e-009°)
6.76082975391976e-001	(-3.04576187692498e+001dB,-1.30347259448609e-009°)
6.91830970918930e-001	(-3.04576187692499e+001dB,-1.33382191665789e-009°)
7.07945784384132e-001	(-3.04576187692500e+001dB,-1.36487727518878e-009°)
7.24435960074984e-001	(-3.04576187692501e+001dB,-1.39665505193746e-009°)
7.41310241300911e-001	(-3.04576187692502e+001dB,-1.42917200635659e-009°)
7.58577575029177e-001	(-3.04576187692503e+001dB,-1.46244528317535e-009°)
7.76247116628685e-001	(-3.04576187692504e+001dB,-1.49649242082734e-009°)
7.94328234724274e-001	(-3.04576187692505e+001dB,-1.53133136148520e-009°)
8.12830516164092e-001	(-3.04576187692506e+001dB,-1.56698045852646e-009°)
8.31763771102663e-001	(-3.04576187692508e+001dB,-1.60345848699311e-009°)
8.51138038202369e-001	(-3.04576187692509e+001dB,-1.64078465191773e-009°)
8.70963589956073e-001	(-3.04576187692510e+001dB,-1.67897859859959e-009°)
8.91250938133737e-001	(-3.04576187692512e+001dB,-1.71806042208073e-009°)
9.12010839355901e-001	(-3.04576187692513e+001dB,-1.75805067707984e-009°)
9.33254300796982e-001	(-3.04576187692515e+001dB,-1.79897038762379e-009°)
9.54992586021427e-001	(-3.04576187692516e+001dB,-1.84084105837431e-009°)
9.77237220955801e-001	(-3.04576187692518e+001dB,-1.88368468400572e-009°)
9.99999999999990e-001	(-3.04576187692520e+001dB,-1.92752376142157e-009°)
1.02329299228074e+000	(-3.04576187692522e+001dB,-1.97238129823756e-009°)
1.04712854805089e+000	(-3.04576187692524e+001dB,-2.01828082601942e-009°)
1.07151930523760e+000	(-3.04576187692526e+001dB,-2.06524641064500e-009°)
1.09647819614317e+000	(-3.04576187692528e+001dB,-2.11330266443482e-009°)
1.12201845430195e+000	(-3.04576187692530e+001dB,-2.16247475635457e-009°)
1.14815362149687e+000	(-3.04576187692533e+001dB,-2.21278842630817e-009°)
1.17489755493952e+000	(-3.04576187692535e+001dB,-2.26426999385252e-009°)
1.20226443461740e+000	(-3.04576187692538e+001dB,-2.31694637439844e-009°)
1.23026877081237e+000	(-3.04576187692541e+001dB,-2.37084508872451e-009°)
1.25892541179415e+000	(-3.04576187692544e+001dB,-2.42599427634142e-009°)
1.28824955169312e+000	(-3.04576187692547e+001dB,-2.48242270928415e-009°)
1.31825673855639e+000	(-3.04576187692550e+001dB,-2.54015980359215e-009°)
1.34896288259164e+000	(-3.04576187692553e+001dB,-2.59923563462021e-009°)
1.38038426460287e+000	(-3.04576187692556e+001dB,-2.65968094841983e-009°)
1.41253754462274e+000	(-3.04576187692560e+001dB,-2.72152717630048e-009°)
1.44543977074591e+000	(-3.04576187692564e+001dB,-2.78480644923266e-009°)
1.47910838816819e+000	(-3.04576187692568e+001dB,-2.84955160983742e-009°)
1.51356124843619e+000	(-3.04576187692572e+001dB,-2.91579622833915e-009°)
1.54881661891247e+000	(-3.04576187692576e+001dB,-2.98357461635607e-009°)
1.58489319246110e+000	(-3.04576187692581e+001dB,-3.05292184036170e-009°)
1.62181009735891e+000	(-3.04576187692586e+001dB,-3.12387373764915e-009°)
1.65958690743754e+000	(-3.04576187692591e+001dB,-3.19646692993260e-009°)
1.69824365246173e+000	(-3.04576187692596e+001dB,-3.27073883861078e-009°)
1.73780082874936e+000	(-3.04576187692601e+001dB,-3.34672769847564e-009°)
1.77827941003890e+000	(-3.04576187692607e+001dB,-3.42447257537680e-009°)
1.81970085860996e+000	(-3.04576187692613e+001dB,-3.50401337810932e-009°)
1.86208713666285e+000	(-3.04576187692619e+001dB,-3.58539087553156e-009°)
1.90546071796323e+000	(-3.04576187692626e+001dB,-3.66864671066527e-009°)
1.94984459975802e+000	(-3.04576187692633e+001dB,-3.75382341610906e-009°)
1.99526231496886e+000	(-3.04576187692640e+001dB,-3.84096442920128e-009°)
2.04173794466951e+000	(-3.04576187692647e+001dB,-3.93011410684020e-009°)
2.08929613085402e+000	(-3.04576187692655e+001dB,-4.02131774281530e-009°)
2.13796208950221e+000	(-3.04576187692663e+001dB,-4.11462157684125e-009°)
2.18776162394953e+000	(-3.04576187692672e+001dB,-4.21007281489190e-009°)
2.23872113856832e+000	(-3.04576187692681e+001dB,-4.30771964353467e-009°)
2.29086765276775e+000	(-3.04576187692690e+001dB,-4.40761124170638e-009°)
2.34422881531990e+000	(-3.04576187692700e+001dB,-4.50979779372655e-009°)
2.39883291901946e+000	(-3.04576187692711e+001dB,-4.61433051107203e-009°)
2.45470891568500e+000	(-3.04576187692721e+001dB,-4.72126163523747e-009°)
2.51188643150955e+000	(-3.04576187692733e+001dB,-4.83064445930354e-009°)
2.57039578276884e+000	(-3.04576187692745e+001dB,-4.94253333664984e-009°)
2.63026799189535e+000	(-3.04576187692757e+001dB,-5.05698369539642e-009°)
2.69153480392689e+000	(-3.04576187692770e+001dB,-5.17405204755859e-009°)
2.75422870333814e+000	(-3.04576187692784e+001dB,-5.29379600560533e-009°)
2.81838293126442e+000	(-3.04576187692798e+001dB,-5.41627428431719e-009°)
2.88403150312657e+000	(-3.04576187692813e+001dB,-5.54154672004286e-009°)
2.95120922666635e+000	(-3.04576187692828e+001dB,-5.66967427290139e-009°)
