date , Sv , C 
Tue Sep  4 09:46:48 2018, 69.59, 805.0
date , Sv , C 
Tue Sep  4 09:47:14 2018, 70.62, 805.0
date , Sv , C 
Tue Sep  4 09:47:41 2018, 75.62, 805.0
date , Sv , C 
Mon Oct 22 16:28:47 2018, 42.08, 874.0
date , Sv , C 
Mon Oct 22 16:29:24 2018, 37.46, 874.0
date , Sv , C 
Mon Oct 22 16:29:55 2018, 39.59, 874.0
