date , Sv , C 
Thu Oct 17 11:09:35 2024, 41.33, 823.0
Thu Oct 17 11:10:07 2024, 46.10, 823.0
Thu Oct 17 11:10:35 2024, 47.42, 823.0
Thu Oct 17 11:11:01 2024, 47.75, 823.0
Thu Mar 27 15:08:48 2025, 25.74, 802.8
Thu Mar 27 15:09:57 2025, 18.30, 802.8
Thu Mar 27 15:10:51 2025, 31.60, 802.8
Thu Mar 27 15:12:02 2025, 18.11, 802.8
Thu Mar 27 15:12:46 2025, 23.79, 802.8
Thu Mar 27 15:14:41 2025, 27.32, 802.8
Thu Mar 27 15:15:25 2025, 37.78, 802.8
Thu Mar 27 15:16:18 2025, 29.12, 802.8
Thu Mar 27 15:17:15 2025, 30.64, 802.8
Mon Mar 31 12:58:19 2025, 30.49, 802.8
Mon Mar 31 12:59:03 2025, 33.04, 802.8
Mon Mar 31 13:00:00 2025, 33.84, 802.8
Mon Mar 31 13:00:28 2025, 32.16, 802.8
Mon Mar 31 13:02:41 2025, 28.48, 802.8
Mon Mar 31 13:04:23 2025, 0.00, 802.8
Mon Mar 31 13:05:31 2025, 34.53, 802.8
Mon Mar 31 13:06:25 2025, 35.54, 802.8
