date , Sv , C 
Thu May 27 10:51:23 2021, 43.90, 751.0
Thu May 27 10:51:54 2021, 44.83, 751.0
Thu May 27 10:52:21 2021, 43.42, 751.0
Mon Apr 10 11:58:21 2023, 44.78, 742.0
Mon Apr 10 11:59:02 2023, 49.06, 742.0
Mon Apr 10 12:00:05 2023, 46.67, 742.0
Thu Jun 27 15:45:59 2024, 32.17, 765.0
Thu Jun 27 15:46:32 2024, 48.74, 765.0
